🍎,熟語部分（英訳）,熟語部分（和訳）,英文,和文
1,go on Ving,～し続ける,He went on reading in the living room till late at night.,彼は夜遅くまでずっとリビングで読書をし続けた。
1,keep on Ving,～し続ける,We kept on walking for over two hours.,私たちは２時間以上歩き続けた。
2,（all）at once,① 一度に いっせいに ② すぐに,"When the teacher came, they all stood up at once.",先生が入ってきたとき、彼らはいっせいに起立した。
2,（all）at once,① 一度に いっせいに ② すぐに,I want you to go to your boss at once.,すぐに上司のところに行ってもらいたい。
3,stand by ～,（苦しんでいる人）～の力になる ～の味方になる,I will always stand by you whenever you need help.,助けが必要なときはいつでもあなたの力になります。
3,stand by,① 傍観する ② 待機する スタンバイする,"While his brother was attacked, he was just standing by.",兄が襲われている間、彼はただ傍観しているだけだった。
4,in spite of ～,～にもかかわらず ～だけれども,They went on a hike in spite of the heavy rain.,大雨にもかかわらず、彼らはハイキングにでかけた。
5,be aware of ～,～に気づいている ～を意識している,The teacher was not aware of the problem among the children.,その先生は児童のなかにある問題を意識していなかった。
5,be conscious of ～,～を意識している,Some athletes are conscious of the spectators.,一部のスポーツ選手は観客のことを意識している。
6,wear out,①（長期の使用で）すり減る ②（長期の使用で）ボロボロになる 駄目になる,Your shoes are worn out.,靴がすり減ってしまっているよ。
6,wear out,①（長期の使用で）すり減る ②（長期の使用で）ボロボロになる 駄目になる,You should throw away the clothes that have been worn out.,ボロボロになった服は捨てたほうがいいよ。
7,not so much as V ～,～さえしない,Those children cannot so much as write their own names.,その子供たちは自分の名前さえ書けない。
7,without so much as Ving ～,～さえせずに,He left the room without so much as saying good-bye.,彼はさよならさえ言わずに部屋を出た。
8,happen to V,たまたまV する もしかしたらV する,Do you happen to know where she lives?,もしかしたら彼女がどこに住んでいるか知っていますか。
8,happen to V,たまたまV する もしかしたらV する,It happened that there was a meeting on that day.,たまたまその日に会議があった。
9,take place,①（出来事）が開催される・行われる ② (事故や出来事)が起きる・起こる,A wedding ceremony will take place at this temple next month.,結婚式が来月この神社で行われます。
9,take place,①（出来事）が開催される・行われる ② (事故や出来事)が起きる・起こる,A traffic accident took place here this morning.,"今朝, ここで交通事故が起きた。"
10,fail in ～,～に失敗する,He failed in his attempt to swim across the river.,彼はその川に泳いで渡ろうとして失敗した。
11,know better than to V ～,～するほど愚かではない,She knows better than to do such a thing in class.,彼女は授業中そのようなことをするほど愚かではない。
12,there is no Ving,～することができない,There is no telling what will happen tomorrow.,明日何が起きるかはわからない。
12,there is no Ving,～することができない,There is no food here.,ここには食べ物が全くない。
13,be at odds with ～,～と争っている,Since childhood my brother and I have continually been at odds with each other.,"兄と私は子どもの頃から, 絶えずお互いに争っている。"
14,far from ～,① 決して～ではない ② ～どころか,The attempt was far from being a success.,その試みは決して成功ではなかった。
14,far from ～,① 決して～ではない ② ～どころか,"Far from being a failure, it was a great success.","失敗どころか, それは大成功だった。"
15,fill ～out,～を記入する,Could you fill out the form with the ncecessary information?,必要事項を用紙に記入していただけますか。
16,refer to ～,① ～について述べる ～を参考にする ② ～を表す ～を示す,He referred to the data during his speech.,"スピーチの最中, 彼はそのデータを参考にした。"
16,refer to ～,① ～について述べる ～を参考にする ② ～を表す ～を示す,These figures refer to the number of crimes committed last year.,これらの数字は昨年起きた犯罪の数を示している。
17,up to 人,～次第である ～に決定権がある,You can go if you like ― it’s up to you.,"行きたければ, 行ってもいいですよ。あなた次第です。"
18,lead a 形容詞 life,～な生活を送る,My father led a happy life and died a peaceful death.,"私の父は幸せな生活を送り, 安らかに亡くなった。"
19,it is no use Ving,～しても無駄である,It is no use arguing with him.,彼と議論をしても無駄だ。
20,be capable of ～,～ができる,This bus is capable of carrying up to 40 people.,このバスは最大40人を乗せることができる。
21,all of a sudden,全く突然に,"All of a sudden, all the lights in the room went out.","全くの突然に, 部屋の明かりが全て消えた。"
22,bear ～ in mind / keep ～ in mind,～を心に留めておく ～を覚えておく,You should keep this advice in mind. ,この助言を忘れないようにね。
23,before long,まもなく,I think he will get home before long. ,彼はまもなく帰宅すると思う。
23,before long,まもなく,It will not be long before he gets home.,まもなく彼は帰宅するだろう。
24,be pleased with ～,～に喜んでいる,She is pleased with her new job.,彼女は新しい仕事に喜んでいる。
25,call ～ off,～を中止する,The soccer game was called off because of the heavy rain.,"大雨のために, サッカーの試合が中止された。"
25,call ～ off,～を中止する,Our flight was canceled because of the heavy rain.,"大雨のために, 私たちのフライトが取りやめになった。"
26,after all（文頭）,（そもそも）～だから,"Don’t be so angry with her. After all, she is only a child.","彼女のことをそんなに怒らないで。 そもそも, まだ子供なんだから。"
26,after all（文頭）,（そもそも）～だから,"She told me that she would come, but she didn’t come after all.","彼女は私に来ると言っていたが, 結局来なかった。"
27,catch up with ～,～に追いつく,"I ran fast, so I was able to catch up with him.","私は速く走ったので, 彼に追いつくことができた。"
27,catch up with ～,～に追いつく,I’m going to meet some of my old friends to catch up tomorrow.,"明日近況を知るため, 何人かの友人と会うつもりです。"
27,catch up with ～,～に追いつく,"I could hardly sleep last night, so I want to catch up on some sleep.","昨夜ほとんど眠れなかったので, 少し寝たい。"
28,keep up with ～,～に遅れないようにする,"I ran fast, but I found it difficult to keep up with him.","私は速く走ったが,彼に遅れないようにすることがなかなかできなかった。"
28,keep up with ～,～に遅れないようにする,It is difficult to keep up with the rapidly changing world.,急速に変わりゆく世の中についていくのは大変だ。
29,do away with ～,～を廃止する,We should do away with such a law.,そのような法律は廃止するべきだ。
30,find fault with ～,～を非難する ～のあら捜しをする,She is always finding fault with her husband.,彼女はいつも夫のあら捜しばかりしている。
31,get ～over,～を克服する,I don’t know how to get over the problem. ,その問題をどのように克服すべきか分からない。
31,get around ～,～を避ける,"When a problem arises, he always gets around it.","問題が生じたとき, 彼はいつもそれを避けようとする。"
32,give in （to ～）,（～に）屈する 降参する,"We had a heated argument, but eventually I gave in and accepted his suggestion.","私たちは白熱した議論を行ったが, 最終的に私が折れて, 彼の提案を受け入れた。"
